                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.48,                 2.4862,                 1.4753,                0.70103,                0.34308,                0.48579,                0.27594,                 1.2764,                 3.3165,                 1.3598,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4946,                 2.0332,                 1.4736,                0.37547,                   0.48,                 0.3031,                0.13374,                 1.6823,                 2.8493,                 1.7552,              0.0012573,              0.0012573,              0.0012573
                      3,                 1.5167,                 1.8606,                 1.5115,                0.44809,                0.49895,                0.43422,                0.17955,                  1.808,                 3.4968,                 1.8447,              0.0017925,              0.0017925,              0.0017925
                      4,                 1.5188,                 1.6834,                 1.4972,                0.52644,                0.48632,                 0.4968,                0.23599,                 1.8148,                 2.1255,                 1.8547,               0.001703,               0.001703,               0.001703
                      5,                 1.4865,                 1.5835,                 1.4883,                0.65209,                0.57263,                0.61737,                0.30756,                 1.5943,                 2.0143,                 1.6194,               0.001703,               0.001703,               0.001703
                      6,                   1.44,                 1.4859,                 1.4383,                0.57033,                0.59263,                0.59455,                0.33589,                 1.4843,                 2.8125,                   1.56,               0.001604,               0.001604,               0.001604
                      7,                 1.4412,                 1.4883,                 1.4564,                0.71518,                0.62105,                0.70082,                0.39883,                 1.4504,                 1.4432,                 1.4897,               0.001505,               0.001505,               0.001505
                      8,                 1.3533,                 1.3609,                 1.3898,                0.79239,                0.66105,                0.76793,                 0.4577,                 1.3118,                 1.4147,                 1.4022,               0.001406,               0.001406,               0.001406
                      9,                 1.3332,                 1.3223,                 1.3907,                 0.7041,                0.61263,                 0.6733,                0.39532,                 1.3907,                 1.7958,                 1.4674,               0.001307,               0.001307,               0.001307
                     10,                 1.3213,                 1.2865,                 1.3743,                0.76329,                   0.62,                0.74702,                0.46511,                 1.2401,                 1.2743,                 1.3643,               0.001208,               0.001208,               0.001208
                     11,                 1.2648,                 1.2026,                 1.3402,                0.84229,                0.69158,                0.81736,                0.52588,                 1.2211,                 1.1925,                 1.3043,               0.001109,               0.001109,               0.001109
                     12,                 1.2309,                 1.1153,                 1.3371,                0.80382,                0.74617,                0.81409,                0.51185,                 1.1786,                 1.2125,                 1.3089,                0.00101,                0.00101,                0.00101
                     13,                  1.188,                 1.0835,                 1.3059,                  0.773,                0.79263,                0.82282,                0.55193,                  1.175,                 1.1082,                  1.272,               0.000911,               0.000911,               0.000911
                     14,                 1.1677,                 1.0096,                 1.2796,                0.69201,                0.79789,                 0.8054,                0.53549,                 1.1246,                 1.2692,                 1.2401,               0.000812,               0.000812,               0.000812
                     15,                 1.1203,                0.98356,                 1.2486,                0.81485,                0.75053,                0.85819,                0.59848,                 1.0499,                 1.0334,                 1.2101,               0.000713,               0.000713,               0.000713
                     16,                 1.0804,                0.90233,                 1.2041,                0.72488,                0.79158,                0.80832,                0.56308,                 1.0651,                 1.1016,                 1.2104,               0.000614,               0.000614,               0.000614
                     17,                 1.0624,                0.90389,                 1.2182,                0.79278,                0.81349,                0.87182,                0.61221,                 1.0367,                0.98165,                 1.2124,               0.000515,               0.000515,               0.000515
                     18,                 1.0116,                0.83777,                 1.1852,                0.75523,                0.77474,                0.81097,                0.55943,                 1.0838,                 1.0652,                 1.2525,               0.000416,               0.000416,               0.000416
                     19,                 0.9773,                0.79351,                 1.1664,                 0.7578,                0.82006,                0.82709,                0.57536,                 1.0457,                0.99329,                 1.2082,               0.000317,               0.000317,               0.000317
                     20,                0.98045,                0.77895,                 1.1598,                0.78947,                    0.8,                0.86401,                0.62618,                0.97373,                0.93111,                  1.159,               0.000218,               0.000218,               0.000218
